Harumafuji,1.5,Onosho,2.59,2017-11-10 11:45:03
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 11:45:03
Ikioi,1.58,Aoiyama,2.38,2017-11-10 11:45:03
Kagayaki,1.63,Takekaze,2.28,2017-11-10 11:45:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:45:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:45:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:50:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 11:50:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:50:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:50:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 11:50:03
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 11:50:03
Ikioi,1.58,Aoiyama,2.38,2017-11-10 11:50:03
Kagayaki,1.63,Takekaze,2.28,2017-11-10 11:50:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:50:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:50:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 11:55:02
Endo,1.68,Chiyomaru,2.19,2017-11-10 11:55:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 11:55:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 11:55:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 11:55:02
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 11:55:02
Ikioi,1.58,Aoiyama,2.38,2017-11-10 11:55:02
Kagayaki,1.63,Takekaze,2.28,2017-11-10 11:55:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 11:55:02
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 11:55:02
Mitakeumi,1.3,Tochiozan,3.52,2017-11-10 11:55:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 11:55:02
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:00:04
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:00:04
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:00:04
