rikishi1,odds1,rikishi2,odds2,ts
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 08:30:04
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 08:30:04
Tamawashi,1.81,Shohozan,2,2017-09-09 08:30:04
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 08:30:04
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 08:30:04
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 08:30:04
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 08:35:02
Daieisho,2.06,Takekaze,1.76,2017-09-09 08:35:02
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 08:35:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 08:35:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 08:35:02
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 08:35:02
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 08:35:02
Ishiura,1.9,Arawashi,1.9,2017-09-09 08:35:02
Kaisei,1.7,Nishikigi,2.15,2017-09-09 08:35:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 08:35:02
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 08:35:02
Shodai,1.6,Ura,2.34,2017-09-09 08:35:02
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 08:35:02
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 08:35:02
Tamawashi,1.81,Shohozan,2,2017-09-09 08:35:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 08:35:02
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 08:35:02
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 08:35:02
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 08:40:03
Daieisho,2.06,Takekaze,1.76,2017-09-09 08:40:03
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 08:40:03
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 08:40:03
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 08:40:03
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 08:40:03
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 08:40:03
Ishiura,1.9,Arawashi,1.9,2017-09-09 08:40:03
Kaisei,1.7,Nishikigi,2.15,2017-09-09 08:40:03
Mitakeumi,1.35,Onosho,3.2,2017-09-09 08:40:03
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 08:40:03
Shodai,1.6,Ura,2.34,2017-09-09 08:40:03
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 08:40:03
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 08:40:03
Tamawashi,1.81,Shohozan,2,2017-09-09 08:40:03
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 08:40:03
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 08:40:03
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 08:40:03
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 08:45:03
Daieisho,2.06,Takekaze,1.76,2017-09-09 08:45:03
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 08:45:03
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 08:45:03
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 08:45:03
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 08:45:03
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 08:45:03
Ishiura,1.9,Arawashi,1.9,2017-09-09 08:45:03
Kaisei,1.7,Nishikigi,2.15,2017-09-09 08:45:03
Mitakeumi,1.35,Onosho,3.2,2017-09-09 08:45:03
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 08:45:03
Shodai,1.6,Ura,2.34,2017-09-09 08:45:03
